list_no,address_raw,address_norm,list_date,offer_date,settled_date,list_price,sale_price,sqft,year_built
"","1 EDGEWATER DRIVE","1 EDGEWATER DR","","","","","","",""
"","30 FALMOUTH ROAD","30 FALMOUTH RD","","","","","","",""
"","12 PATTON ROAD","12 PATTON RD","","","","","","",""
"","68 YARMOUTH ROAD","68 YARMOUTH RD","","","","","","",""
"","19 TURNER ROAD","19 TURNER RD","","","","","","",""
"","26 YARMOUTH ROAD","26 YARMOUTH RD","","","","","","",""
"","76 BRISTOL ROAD","76 BRISTOL RD","","","","","","",""
"","161 CEDAR STREET","161 CEDAR ST","","","","","","",""
"","78 ARNOLD ROAD","78 ARNOLD RD","","","","","","",""
"","57 SHERIDAN ROAD","57 SHERIDAN RD","","","","","","",""
"","130 GREAT PLAIN AVENUE","130 GREAT PLAIN AVE","","","","","","",""
"","32 BOULDER BROOK ROAD","32 BOULDER BROOK RD","","","","","","",""
"","148 WALNUT STREET","148 WALNUT ST","","","","","","",""
"","86 MAYO ROAD","86 MAYO RD","","","","","","",""
"","30 LANTERN LANE","30 LANTERN LN","","","","","","",""
"","50 WASHBURN AVENUE","50 WASHBURN AVE","","","","","","",""
"","10 PARK AVENUE","10 PARK AVE","","","","","","",""
"","15 MAYO ROAD","15 MAYO RD","","","","","","",""
"","21 RIVERDALE ROAD","21 RIVERDALE RD","","","","","","",""
"","28 RIVER GLEN ROAD","28 RIVER GLEN RD","","","","","","",""
"","64 HALSEY AVENUE","64 HALSEY AVE","","","","","","",""
"","55-57 FIELDSTONE WAY","55-57 FIELDSTONE WAY","","","","","","",""
"","43-45 FIELDSTONE WAY","43-45 FIELDSTONE WAY","","","","","","",""
"","47-49 FIELDSTONE WAY","47-49 FIELDSTONE WAY","","","","","","",""
"","51-53 FIELDSTONE WAY","51-53 FIELDSTONE WAY","","","","","","",""
"","22 PATTON ROAD","22 PATTON RD","","","","","","",""
"","31 ELM STREET","31 ELM ST","","","","","","",""
"","32 LANTERN LANE","32 LANTERN LN","","","","","","",""
"","76 FAIRBANKS AVENUE","76 FAIRBANKS AVE","","","","","","",""
"","146 LOWELL ROAD","146 LOWELL RD","","","","","","",""
"","27 WESTGATE","27 WESTGATE","","","","","","",""
"","9 FRANKLIN ROAD","9 FRANKLIN RD","","","","","","",""
"","7 MASSASOIT ROAD","7 MASSASOIT RD","","","","","","",""
"","20 WILSON STREET","20 WILSON ST","","","","","","",""
"","173 WINDING RIVER ROAD","173 WINDING RIVER RD","","","","","","",""
"","39-41 FIELDSTONE WAY","39-41 FIELDSTONE WAY","","","","","","",""
"","139 OVERBROOK DRIVE","139 OVERBROOK DR","","","","","","",""
"","8 DEERFIELD ROAD","8 DEERFIELD RD","","","","","","",""
"","31-33 FIELDSTONE WAY","31-33 FIELDSTONE WAY","","","","","","",""
"","39 SKYLINE DRIVE","39 SKYLINE DR","","","","","","",""
"","35 RICE STREET","35 RICE ST","","","","","","",""
"","6 WILSON STREET","6 WILSON ST","","","","","","",""
"","93 BROOK STREET","93 BROOK ST","","","","","","",""
"","206 WINDING RIVER ROAD","206 WINDING RIVER RD","","","","","","",""
"","35-37 FIELDSTONE WAY","35-37 FIELDSTONE WAY","","","","","","",""
"","26 LANTERN LANE","26 LANTERN LN","","","","","","",""
"","11 WOODLAND ROAD","11 WOODLAND RD","","","","","","",""
"","9 DURANT ROAD","9 DURANT RD","","","","","","",""
"","26 LATHROP ROAD","26 LATHROP RD","","","","","","",""
"","20 WOODCHESTER ROAD","20 WOODCHESTER RD","","","","","","",""
"","40 PARK AVENUE","40 PARK AVE","","","","","","",""
"","24 BELAIR ROAD","24 BELAIR RD","","","","","","",""
"","8 DEXTER ROAD","8 DEXTER RD","","","","","","",""
"","7 ASHMONT ROAD","7 ASHMONT RD","","","","","","",""
"","21 GREYLOCK ROAD","21 GREYLOCK RD","","","","","","",""
"","60 AUDUBON ROAD","60 AUDUBON RD","","","","","","",""
"","18 BAY STATE ROAD","18 BAY STATE RD","","","","","","",""
"","10-12 FIELDSTONE WAY","10-12 FIELDSTONE WAY","","","","","","",""
"","36 OAKRIDGE ROAD","36 OAKRIDGE RD","","","","","","",""
"","24 PRISCILLA ROAD","24 PRISCILLA RD","","","","","","",""
"","38-40 FIELDSTONE WAY","38-40 FIELDSTONE WAY","","","","","","",""
"","6 HASTINGS STREET","6 HASTINGS ST","","","","","","",""
"","11 KENILWORTH ROAD","11 KENILWORTH RD","","","","","","",""
"","1 PICKEREL ROAD","1 PICKEREL RD","","","","","","",""
"","196 POND ROAD","196 POND RD","","","","","","",""
"","47 CROWN RIDGE ROAD","47 CROWN RIDGE RD","","","","","","",""
"","37 CYPRESS ROAD","37 CYPRESS RD","","","","","","",""
"","6 BRYN MAWR ROAD","6 BRYN MAWR RD","","","","","","",""
"","78 HUNDREDS ROAD","78 HUNDREDS RD","","","","","","",""
"","36 SHERIDAN ROAD","36 SHERIDAN RD","","","","","","",""
"","2 BUCKINGHAM TERRACE","2 BUCKINGHAM TER","","","","","","",""
"","15 THE WATERWAY","15 THE WATERWAY","","","","","","",""
"","80 HUNDREDS ROAD","80 HUNDREDS RD","","","","","","",""
"","21 MANSFIELD ROAD","21 MANSFIELD RD","","","","","","",""
"","36 PLEASANT STREET","36 PLEASANT ST","","","","","","",""
"","56 WESTGATE","56 WESTGATE","","","","","","",""
"","40 OLD FARM ROAD","40 OLD FARM RD","","","","","","",""
"","9 BELLEVUE ROAD","9 BELLEVUE RD","","","","","","",""
"","60 OAK STREET","60 OAK ST","","","","","","",""
"","23 BOBOLINK ROAD","23 BOBOLINK RD","","","","","","",""
"","41 CHESTNUT STREET","41 CHESTNUT ST","","","","","","",""
"","31 ATWOOD STREET","31 ATWOOD ST","","","","","","",""
"","8 HAMPSHIRE ROAD","8 HAMPSHIRE RD","","","","","","",""
"","17 ARDEN ROAD","17 ARDEN RD","","","","","","",""
"","65 PLEASANT STREET","65 PLEASANT ST","","","","","","",""
"","111 GREAT PLAIN AVENUE","111 GREAT PLAIN AVE","","","","","","",""
"","33-35 PLEASANT STREET","33-35 PLEASANT ST","","","","","","",""
"","6 WINSLOW ROAD","6 WINSLOW RD","","","","","","",""
"","30 DUNEDIN ROAD","30 DUNEDIN RD","","","","","","",""
"","36 PATTON ROAD","36 PATTON RD","","","","","","",""
"","22 SUFFOLK ROAD","22 SUFFOLK RD","","","","","","",""
"","34 BAY VIEW ROAD","34 BAY VIEW RD","","","","","","",""
"","460 WESTON ROAD","460 WESTON RD","","","","","","",""
"","20 MARSHALL ROAD","20 MARSHALL RD","","","","","","",""
"","11 SHAW ROAD","11 SHAW RD","","","","","","",""
"","8 BAY VIEW ROAD","8 BAY VIEW RD","","","","","","",""
"","27 LATHROP ROAD","27 LATHROP RD","","","","","","",""
"","35 PEMBROKE ROAD","35 PEMBROKE RD","","","","","","",""
"","1 VISTA ROAD","1 VISTA RD","","","","","","",""
"","84 PLEASANT STREET","84 PLEASANT ST","","","","","","",""
"","42 EARLE ROAD","42 EARLE RD","","","","","","",""
"","4 LARCH ROAD","4 LARCH RD","","","","","","",""
"","34 CHESTERTON ROAD","34 CHESTERTON RD","","","","","","",""
"","10 RAVINE ROAD","10 RAVINE RD","","","","","","",""
"","89 MONADNOCK ROAD","89 MONADNOCK RD","","","","","","",""
"","18 BIRCH ROAD","18 BIRCH RD","","","","","","",""
"","37 FALMOUTH ROAD","37 FALMOUTH RD","","","","","","",""
"","10 BUCKNELL ROAD","10 BUCKNELL RD","","","","","","",""
"","23 LAWRENCE ROAD","23 LAWRENCE RD","","","","","","",""
"","20 CHESTERTON ROAD","20 CHESTERTON RD","","","","","","",""
"","32 CHESTERTON ROAD","32 CHESTERTON RD","","","","","","",""
"","62 HAMPSHIRE ROAD","62 HAMPSHIRE RD","","","","","","",""
"","32 UPSON ROAD","32 UPSON RD","","","","","","",""
"","105 ALBION ROAD","105 ALBION RD","","","","","","",""
"","28 STURBRIDGE ROAD","28 STURBRIDGE RD","","","","","","",""
"","26-28 FIELDSTONE WAY","26-28 FIELDSTONE WAY","","","","","","",""
"","9 WEDGWOOD ROAD","9 WEDGWOOD RD","","","","","","",""
"","20 WEDGWOOD ROAD","20 WEDGWOOD RD","","","","","","",""
"","7 MOUNTVIEW ROAD","7 MOUNTVIEW RD","","","","","","",""
"","287 OAKLAND STREET","287 OAKLAND ST","","","","","","",""
"","19 NORTHGATE ROAD","19 NORTHGATE RD","","","","","","",""
"","36 MACARTHUR ROAD","36 MACARTHUR RD","","","","","","",""
"","23 RUTGERS ROAD","23 RUTGERS RD","","","","","","",""
"","51 BEVERLY ROAD","51 BEVERLY RD","","","","","","",""
"","310 OAKLAND STREET","310 OAKLAND ST","","","","","","",""
"","177 HAMPSHIRE ROAD","177 HAMPSHIRE RD","","","","","","",""
"","86 PARKER ROAD","86 PARKER RD","","","","","","",""
"","45 WHITE OAK ROAD","45 WHITE OAK RD","","","","","","",""
"","365 WORCESTER STREET, WELLESLEY, MA 02481","365 WORCESTER ST WELLESLEY MA 02481","","","","","","",""
"","20 OAKLAND STREET","20 OAKLAND ST","","","","","","",""
"","34 GARRISON ROAD","34 GARRISON RD","","","","","","",""
"","30 HOBART ROAD","30 HOBART RD","","","","","","",""
"","11 ALBA ROAD","11 ALBA RD","","","","","","",""
"","60 WINDSOR ROAD","60 WINDSOR RD","","","","","","",""
"","35 GRANTLAND ROAD","35 GRANTLAND RD","","","","","","",""
"","11 LINCOLN ROAD","11 LINCOLN RD","","","","","","",""
"","44 CHESTERTON ROAD","44 CHESTERTON RD","","","","","","",""
"","68 YARMOUTH ROAD","68 YARMOUTH RD","","","","","","",""
"","68 PARKER ROAD","68 PARKER RD","","","","","","",""
"","10 LATHROP ROAD","10 LATHROP RD","","","","","","",""
"","37 CYPRESS ROAD","37 CYPRESS RD","","","","","","",""
"","9 PINEWOOD ROAD","9 PINEWOOD RD","","","","","","",""
"","50 LONGFELLOW ROAD","50 LONGFELLOW RD","","","","","","",""
"","68 STANDISH ROAD","68 STANDISH RD","","","","","","",""
"","115 WOODLAWN AVENUE","115 WOODLAWN AVE","","","","","","",""
"","22 BRADLEY AVENUE","22 BRADLEY AVE","","","","","","",""
"","36 AVON ROAD","36 AVON RD","","","","","","",""
"","765 WORCESTER STREET","765 WORCESTER ST","","","","","","",""
"","85 BENVENUE STREET","85 BENVENUE ST","","","","","","",""
"","25 OAK STREET","25 OAK ST","","","","","","",""
"","157 DOVER ROAD","157 DOVER RD","","","","","","",""
"","105 ELMWOOD ROAD","105 ELMWOOD RD","","","","","","",""
"","182 BRISTOL ROAD","182 BRISTOL RD","","","","","","",""
"","42 CRANMORE ROAD","42 CRANMORE RD","","","","","","",""
"","12 EDGEWATER DRIVE","12 EDGEWATER DR","","","","","","",""
"","10 GREAT PLAIN AVENUE","10 GREAT PLAIN AVE","","","","","","",""
"","60 LIVINGSTON ROAD","60 LIVINGSTON RD","","","","","","",""
"","29 MCLEAN STREET","29 MCLEAN ST","","","","","","",""
"","1 SUNNYSIDE AVENUE","1 SUNNYSIDE AVE","","","","","","",""
"","18 SPRAGUE ROAD","18 SPRAGUE RD","","","","","","",""
"","10 WALL STREET","10 WALL ST","","","","","","",""
"","29 MAURICE ROAD","29 MAURICE RD","","","","","","",""
"","169 WASHINGTON STREET","169 WASHINGTON ST","","","","","","",""
"","24 LARCH ROAD","24 LARCH RD","","","","","","",""
"","10 FIFE ROAD","10 FIFE RD","","","","","","",""
"","85 CEDAR STREET","85 CEDAR ST","","","","","","",""
"","38 PARKER ROAD","38 PARKER RD","","","","","","",""
"","91 PROSPECT STREET","91 PROSPECT ST","","","","","","",""
"","32 SOUTH WOODSIDE AVENUE","32 SOUTH WOODSIDE AVE","","","","","","",""
"","38 WOODCLIFF ROAD","38 WOODCLIFF RD","","","","","","",""
"","8 OAKDALE AVENUE","8 OAKDALE AVE","","","","","","",""
"","51 BOULDER BROOK ROAD","51 BOULDER BROOK RD","","","","","","",""
"","14 BIRD HILL AVENUE","14 BIRD HILL AVE","","","","","","",""
"","14 PRINCETON ROAD","14 PRINCETON RD","","","","","","",""
"","14 ALBA ROAD","14 ALBA RD","","","","","","",""
"","12 BIRD HILL AVENUE","12 BIRD HILL AVE","","","","","","",""
"","9 PEIRCE ROAD","9 PEIRCE RD","","","","","","",""
"","77 CARISBROOKE ROAD","77 CARISBROOKE RD","","","","","","",""
"","6 SOUTHGATE ROAD","6 SOUTHGATE RD","","","","","","",""
"","65 TEMPLE ROAD","65 TEMPLE RD","","","","","","",""
"","10 BIRD HILL AVENUE","10 BIRD HILL AVE","","","","","","",""
"","12 WILDON ROAD","12 WILDON RD","","","","","","",""
"","22 PRISCILLA CIRCLE","22 PRISCILLA CIR","","","","","","",""
"","21 FULLER BROOK ROAD","21 FULLER BROOK RD","","","","","","",""
"","44 COTTONWOOD ROAD","44 COTTONWOOD RD","","","","","","",""
"","2 DALE STREET","2 DALE ST","","","","","","",""
"","250 WESTON ROAD","250 WESTON RD","","","","","","",""
"","143 BROOK STREET","143 BROOK ST","","","","","","",""
"","206 BRISTOL ROAD","206 BRISTOL RD","","","","","","",""
"","36 BAY VIEW ROAD","36 BAY VIEW RD","","","","","","",""
"","16 WOODFIELD ROAD","16 WOODFIELD RD","","","","","","",""
"","32 BERNARD ROAD","32 BERNARD RD","","","","","","",""
"","108 ABBOTT ROAD","108 ABBOTT RD","","","","","","",""
"","32 KINGSBURY STREET","32 KINGSBURY ST","","","","","","",""
"","222 GROVE STREET","222 GROVE ST","","","","","","",""
"","10 INGERSOLL ROAD","10 INGERSOLL RD","","","","","","",""
"","3 CYPRESS ROAD","3 CYPRESS RD","","","","","","",""
"","41 AUDUBON ROAD","41 AUDUBON RD","","","","","","",""
"","15 LATHROP ROAD","15 LATHROP RD","","","","","","",""
"","67 OVERBROOK DRIVE","67 OVERBROOK DR","","","","","","",""
"","18 OLD COLONY ROAD","18 OLD COLONY RD","","","","","","",""
"","91 SEAVER STREET","91 SEAVER ST","","","","","","",""
"","93 SEAVER STREET","93 SEAVER ST","","","","","","",""
"","10 FIFE ROAD","10 FIFE RD","","","","","","",""
"","14 OAKENCROFT ROAD","14 OAKENCROFT RD","","","","","","",""
"","51 RADCLIFFE ROAD","51 RADCLIFFE RD","","","","","","",""
"","1 EDGEWATER DRIVE","1 EDGEWATER DR","","","","","","",""
"","30 FALMOUTH ROAD","30 FALMOUTH RD","","","","","","",""
"","12 PATTON ROAD","12 PATTON RD","","","","","","",""
"","68 YARMOUTH ROAD","68 YARMOUTH RD","","","","","","",""
"","19 TURNER ROAD","19 TURNER RD","","","","","","",""
"","26 YARMOUTH ROAD","26 YARMOUTH RD","","","","","","",""
"","76 BRISTOL ROAD","76 BRISTOL RD","","","","","","",""
"","161 CEDAR STREET","161 CEDAR ST","","","","","","",""
"","78 ARNOLD ROAD","78 ARNOLD RD","","","","","","",""
"","57 SHERIDAN ROAD","57 SHERIDAN RD","","","","","","",""
"","130 GREAT PLAIN AVENUE","130 GREAT PLAIN AVE","","","","","","",""
"","32 BOULDER BROOK ROAD","32 BOULDER BROOK RD","","","","","","",""
"","148 WALNUT STREET","148 WALNUT ST","","","","","","",""
"","86 MAYO ROAD","86 MAYO RD","","","","","","",""
"","30 LANTERN LANE","30 LANTERN LN","","","","","","",""
"","50 WASHBURN AVENUE","50 WASHBURN AVE","","","","","","",""
"","10 PARK AVENUE","10 PARK AVE","","","","","","",""
"","15 MAYO ROAD","15 MAYO RD","","","","","","",""
"","21 RIVERDALE ROAD","21 RIVERDALE RD","","","","","","",""
"","28 RIVER GLEN ROAD","28 RIVER GLEN RD","","","","","","",""
"","64 HALSEY AVENUE","64 HALSEY AVE","","","","","","",""
"","55-57 FIELDSTONE WAY","55-57 FIELDSTONE WAY","","","","","","",""
"","43-45 FIELDSTONE WAY","43-45 FIELDSTONE WAY","","","","","","",""
"","47-49 FIELDSTONE WAY","47-49 FIELDSTONE WAY","","","","","","",""
"","51-53 FIELDSTONE WAY","51-53 FIELDSTONE WAY","","","","","","",""
"","22 PATTON ROAD","22 PATTON RD","","","","","","",""
"","31 ELM STREET","31 ELM ST","","","","","","",""
"","32 LANTERN LANE","32 LANTERN LN","","","","","","",""
"","76 FAIRBANKS AVENUE","76 FAIRBANKS AVE","","","","","","",""
"","146 LOWELL ROAD","146 LOWELL RD","","","","","","",""
"","27 WESTGATE","27 WESTGATE","","","","","","",""
"","9 FRANKLIN ROAD","9 FRANKLIN RD","","","","","","",""
"","7 MASSASOIT ROAD","7 MASSASOIT RD","","","","","","",""
"","20 WILSON STREET","20 WILSON ST","","","","","","",""
"","173 WINDING RIVER ROAD","173 WINDING RIVER RD","","","","","","",""
"","39-41 FIELDSTONE WAY","39-41 FIELDSTONE WAY","","","","","","",""
"","139 OVERBROOK DRIVE","139 OVERBROOK DR","","","","","","",""
"","8 DEERFIELD ROAD","8 DEERFIELD RD","","","","","","",""
"","31-33 FIELDSTONE WAY","31-33 FIELDSTONE WAY","","","","","","",""
"","39 SKYLINE DRIVE","39 SKYLINE DR","","","","","","",""
"","35 RICE STREET","35 RICE ST","","","","","","",""
"","6 WILSON STREET","6 WILSON ST","","","","","","",""
"","93 BROOK STREET","93 BROOK ST","","","","","","",""
"","206 WINDING RIVER ROAD","206 WINDING RIVER RD","","","","","","",""
"","35-37 FIELDSTONE WAY","35-37 FIELDSTONE WAY","","","","","","",""
"","26 LANTERN LANE","26 LANTERN LN","","","","","","",""
"","11 WOODLAND ROAD","11 WOODLAND RD","","","","","","",""
"","9 DURANT ROAD","9 DURANT RD","","","","","","",""
"","26 LATHROP ROAD","26 LATHROP RD","","","","","","",""
"","20 WOODCHESTER ROAD","20 WOODCHESTER RD","","","","","","",""
"","40 PARK AVENUE","40 PARK AVE","","","","","","",""
"","24 BELAIR ROAD","24 BELAIR RD","","","","","","",""
"","8 DEXTER ROAD","8 DEXTER RD","","","","","","",""
"","7 ASHMONT ROAD","7 ASHMONT RD","","","","","","",""
"","21 GREYLOCK ROAD","21 GREYLOCK RD","","","","","","",""
"","60 AUDUBON ROAD","60 AUDUBON RD","","","","","","",""
"","18 BAY STATE ROAD","18 BAY STATE RD","","","","","","",""
"","10-12 FIELDSTONE WAY","10-12 FIELDSTONE WAY","","","","","","",""
"","36 OAKRIDGE ROAD","36 OAKRIDGE RD","","","","","","",""
"","24 PRISCILLA ROAD","24 PRISCILLA RD","","","","","","",""
"","38-40 FIELDSTONE WAY","38-40 FIELDSTONE WAY","","","","","","",""
"","6 HASTINGS STREET","6 HASTINGS ST","","","","","","",""
"","11 KENILWORTH ROAD","11 KENILWORTH RD","","","","","","",""
"","1 PICKEREL ROAD","1 PICKEREL RD","","","","","","",""
"","196 POND ROAD","196 POND RD","","","","","","",""
"","47 CROWN RIDGE ROAD","47 CROWN RIDGE RD","","","","","","",""
"","37 CYPRESS ROAD","37 CYPRESS RD","","","","","","",""
"","6 BRYN MAWR ROAD","6 BRYN MAWR RD","","","","","","",""
"","78 HUNDREDS ROAD","78 HUNDREDS RD","","","","","","",""
"","36 SHERIDAN ROAD","36 SHERIDAN RD","","","","","","",""
"","2 BUCKINGHAM TERRACE","2 BUCKINGHAM TER","","","","","","",""
"","15 THE WATERWAY","15 THE WATERWAY","","","","","","",""
"","80 HUNDREDS ROAD","80 HUNDREDS RD","","","","","","",""
"","21 MANSFIELD ROAD","21 MANSFIELD RD","","","","","","",""
"","36 PLEASANT STREET","36 PLEASANT ST","","","","","","",""
"","56 WESTGATE","56 WESTGATE","","","","","","",""
"","40 OLD FARM ROAD","40 OLD FARM RD","","","","","","",""
"","9 BELLEVUE ROAD","9 BELLEVUE RD","","","","","","",""
"","60 OAK STREET","60 OAK ST","","","","","","",""
"","23 BOBOLINK ROAD","23 BOBOLINK RD","","","","","","",""
"","41 CHESTNUT STREET","41 CHESTNUT ST","","","","","","",""
"","31 ATWOOD STREET","31 ATWOOD ST","","","","","","",""
"","8 HAMPSHIRE ROAD","8 HAMPSHIRE RD","","","","","","",""
"","17 ARDEN ROAD","17 ARDEN RD","","","","","","",""
"","65 PLEASANT STREET","65 PLEASANT ST","","","","","","",""
"","111 GREAT PLAIN AVENUE","111 GREAT PLAIN AVE","","","","","","",""
"","33-35 PLEASANT STREET","33-35 PLEASANT ST","","","","","","",""
"","6 WINSLOW ROAD","6 WINSLOW RD","","","","","","",""
"","30 DUNEDIN ROAD","30 DUNEDIN RD","","","","","","",""
"","36 PATTON ROAD","36 PATTON RD","","","","","","",""
"","22 SUFFOLK ROAD","22 SUFFOLK RD","","","","","","",""
"","34 BAY VIEW ROAD","34 BAY VIEW RD","","","","","","",""
"","460 WESTON ROAD","460 WESTON RD","","","","","","",""
"","20 MARSHALL ROAD","20 MARSHALL RD","","","","","","",""
"","11 SHAW ROAD","11 SHAW RD","","","","","","",""
"","8 BAY VIEW ROAD","8 BAY VIEW RD","","","","","","",""
"","27 LATHROP ROAD","27 LATHROP RD","","","","","","",""
"","35 PEMBROKE ROAD","35 PEMBROKE RD","","","","","","",""
"","1 VISTA ROAD","1 VISTA RD","","","","","","",""
"","84 PLEASANT STREET","84 PLEASANT ST","","","","","","",""
"","42 EARLE ROAD","42 EARLE RD","","","","","","",""
"","4 LARCH ROAD","4 LARCH RD","","","","","","",""
"","34 CHESTERTON ROAD","34 CHESTERTON RD","","","","","","",""
"","10 RAVINE ROAD","10 RAVINE RD","","","","","","",""
"","89 MONADNOCK ROAD","89 MONADNOCK RD","","","","","","",""
"","18 BIRCH ROAD","18 BIRCH RD","","","","","","",""
"","37 FALMOUTH ROAD","37 FALMOUTH RD","","","","","","",""
"","10 BUCKNELL ROAD","10 BUCKNELL RD","","","","","","",""
"","23 LAWRENCE ROAD","23 LAWRENCE RD","","","","","","",""
"","20 CHESTERTON ROAD","20 CHESTERTON RD","","","","","","",""
"","32 CHESTERTON ROAD","32 CHESTERTON RD","","","","","","",""
"","62 HAMPSHIRE ROAD","62 HAMPSHIRE RD","","","","","","",""
"","32 UPSON ROAD","32 UPSON RD","","","","","","",""
"","105 ALBION ROAD","105 ALBION RD","","","","","","",""
"","28 STURBRIDGE ROAD","28 STURBRIDGE RD","","","","","","",""
"","26-28 FIELDSTONE WAY","26-28 FIELDSTONE WAY","","","","","","",""
"","9 WEDGWOOD ROAD","9 WEDGWOOD RD","","","","","","",""
"","20 WEDGWOOD ROAD","20 WEDGWOOD RD","","","","","","",""
"","7 MOUNTVIEW ROAD","7 MOUNTVIEW RD","","","","","","",""
"","287 OAKLAND STREET","287 OAKLAND ST","","","","","","",""
"","19 NORTHGATE ROAD","19 NORTHGATE RD","","","","","","",""
"","36 MACARTHUR ROAD","36 MACARTHUR RD","","","","","","",""
"","23 RUTGERS ROAD","23 RUTGERS RD","","","","","","",""
"","51 BEVERLY ROAD","51 BEVERLY RD","","","","","","",""
"","310 OAKLAND STREET","310 OAKLAND ST","","","","","","",""
"","177 HAMPSHIRE ROAD","177 HAMPSHIRE RD","","","","","","",""
"","86 PARKER ROAD","86 PARKER RD","","","","","","",""
"","45 WHITE OAK ROAD","45 WHITE OAK RD","","","","","","",""
"","365 WORCESTER STREET, WELLESLEY, MA 02481","365 WORCESTER ST WELLESLEY MA 02481","","","","","","",""
"","20 OAKLAND STREET","20 OAKLAND ST","","","","","","",""
"","34 GARRISON ROAD","34 GARRISON RD","","","","","","",""
"","30 HOBART ROAD","30 HOBART RD","","","","","","",""
"","11 ALBA ROAD","11 ALBA RD","","","","","","",""
"","60 WINDSOR ROAD","60 WINDSOR RD","","","","","","",""
"","35 GRANTLAND ROAD","35 GRANTLAND RD","","","","","","",""
"","11 LINCOLN ROAD","11 LINCOLN RD","","","","","","",""
"","44 CHESTERTON ROAD","44 CHESTERTON RD","","","","","","",""
"","68 YARMOUTH ROAD","68 YARMOUTH RD","","","","","","",""
"","68 PARKER ROAD","68 PARKER RD","","","","","","",""
"","10 LATHROP ROAD","10 LATHROP RD","","","","","","",""
"","37 CYPRESS ROAD","37 CYPRESS RD","","","","","","",""
"","9 PINEWOOD ROAD","9 PINEWOOD RD","","","","","","",""
"","50 LONGFELLOW ROAD","50 LONGFELLOW RD","","","","","","",""
"","68 STANDISH ROAD","68 STANDISH RD","","","","","","",""
"","115 WOODLAWN AVENUE","115 WOODLAWN AVE","","","","","","",""
"","22 BRADLEY AVENUE","22 BRADLEY AVE","","","","","","",""
"","36 AVON ROAD","36 AVON RD","","","","","","",""
"","765 WORCESTER STREET","765 WORCESTER ST","","","","","","",""
"","85 BENVENUE STREET","85 BENVENUE ST","","","","","","",""
"","25 OAK STREET","25 OAK ST","","","","","","",""
"","157 DOVER ROAD","157 DOVER RD","","","","","","",""
"","105 ELMWOOD ROAD","105 ELMWOOD RD","","","","","","",""
"","182 BRISTOL ROAD","182 BRISTOL RD","","","","","","",""
"","42 CRANMORE ROAD","42 CRANMORE RD","","","","","","",""
"","12 EDGEWATER DRIVE","12 EDGEWATER DR","","","","","","",""
"","10 GREAT PLAIN AVENUE","10 GREAT PLAIN AVE","","","","","","",""
"","60 LIVINGSTON ROAD","60 LIVINGSTON RD","","","","","","",""
"","29 MCLEAN STREET","29 MCLEAN ST","","","","","","",""
"","1 SUNNYSIDE AVENUE","1 SUNNYSIDE AVE","","","","","","",""
"","18 SPRAGUE ROAD","18 SPRAGUE RD","","","","","","",""
"","10 WALL STREET","10 WALL ST","","","","","","",""
"","29 MAURICE ROAD","29 MAURICE RD","","","","","","",""
"","169 WASHINGTON STREET","169 WASHINGTON ST","","","","","","",""
"","24 LARCH ROAD","24 LARCH RD","","","","","","",""
"","10 FIFE ROAD","10 FIFE RD","","","","","","",""
"","85 CEDAR STREET","85 CEDAR ST","","","","","","",""
"","38 PARKER ROAD","38 PARKER RD","","","","","","",""
"","91 PROSPECT STREET","91 PROSPECT ST","","","","","","",""
"","32 SOUTH WOODSIDE AVENUE","32 SOUTH WOODSIDE AVE","","","","","","",""
"","38 WOODCLIFF ROAD","38 WOODCLIFF RD","","","","","","",""
"","8 OAKDALE AVENUE","8 OAKDALE AVE","","","","","","",""
"","51 BOULDER BROOK ROAD","51 BOULDER BROOK RD","","","","","","",""
"","14 BIRD HILL AVENUE","14 BIRD HILL AVE","","","","","","",""
"","14 PRINCETON ROAD","14 PRINCETON RD","","","","","","",""
"","14 ALBA ROAD","14 ALBA RD","","","","","","",""
"","12 BIRD HILL AVENUE","12 BIRD HILL AVE","","","","","","",""
"","9 PEIRCE ROAD","9 PEIRCE RD","","","","","","",""
"","77 CARISBROOKE ROAD","77 CARISBROOKE RD","","","","","","",""
"","6 SOUTHGATE ROAD","6 SOUTHGATE RD","","","","","","",""
"","65 TEMPLE ROAD","65 TEMPLE RD","","","","","","",""
"","10 BIRD HILL AVENUE","10 BIRD HILL AVE","","","","","","",""
"","12 WILDON ROAD","12 WILDON RD","","","","","","",""
"","22 PRISCILLA CIRCLE","22 PRISCILLA CIR","","","","","","",""
"","21 FULLER BROOK ROAD","21 FULLER BROOK RD","","","","","","",""
"","44 COTTONWOOD ROAD","44 COTTONWOOD RD","","","","","","",""
"","2 DALE STREET","2 DALE ST","","","","","","",""
"","250 WESTON ROAD","250 WESTON RD","","","","","","",""
"","143 BROOK STREET","143 BROOK ST","","","","","","",""
"","206 BRISTOL ROAD","206 BRISTOL RD","","","","","","",""
"","36 BAY VIEW ROAD","36 BAY VIEW RD","","","","","","",""
"","16 WOODFIELD ROAD","16 WOODFIELD RD","","","","","","",""
"","32 BERNARD ROAD","32 BERNARD RD","","","","","","",""
"","108 ABBOTT ROAD","108 ABBOTT RD","","","","","","",""
"","32 KINGSBURY STREET","32 KINGSBURY ST","","","","","","",""
"","222 GROVE STREET","222 GROVE ST","","","","","","",""
"","10 INGERSOLL ROAD","10 INGERSOLL RD","","","","","","",""
