permit_record_id,permit_address,permit_date,permit_est_cost,mls_list_no,mls_address,mls_list_date,mls_settled_date,mls_sale_price,match_type,match_score,time_to_list_days,time_to_sale_days,sale_to_cost_ratio
"RES-25-860","489A WORCESTER STREET, WELLESLEY, MA 02481","+251540-10","","","365 WORCESTER STREET, WELLESLEY, MA 02481","","","","fuzzy","0.9343915343915343","","",""
"RES-25-667","489 WORCESTER STREET, WELLESLEY, MA 02481","+251754-08","","","365 WORCESTER STREET, WELLESLEY, MA 02481","","","","fuzzy","0.9428571428571427","","",""
"RES-25-860","489A WORCESTER STREET, WELLESLEY, MA 02481","+251540-10","1400000","","365 WORCESTER STREET, WELLESLEY, MA 02481","","","","fuzzy","0.9343915343915343","","",""
"RES-25-667","489 WORCESTER STREET, WELLESLEY, MA 02481","+251754-08","1300000","","365 WORCESTER STREET, WELLESLEY, MA 02481","","","","fuzzy","0.9428571428571427","","",""
"","38 Parker,","","","","38 PARKER ROAD","","","","fuzzy","0.95","","",""
"","15 Lafayette","","","73368427","15 Lafayette Cir 3 1","2025-04-30","2025-07-24","","fuzzy","0.92","","",""
"","345 Linden,","","","73074917","345 Linden 3 1","2023-01-30","2023-05-09","","fuzzy","0.9428571428571428","","",""
"","23 Wareland,","","","73389515","23 Wareland Rd 3 2","2025-06-10","2025-07-13","","fuzzy","0.9222222222222222","","",""
"","91 Prospect,","","","","91 PROSPECT STREET","","","","fuzzy","0.9571428571428571","","",""
"","23 Priscilla,","","","73307224","23 Priscilla Cir 3 2","2024-10-28","2025-05-01","","fuzzy","0.92","","",""
"","206 Bristol,","","","","206 BRISTOL ROAD","","","","fuzzy","0.9571428571428571","","",""
"","201 Lowell,","","","73102988","201 Lowell Road","2023-04-24","2023-08-08","","fuzzy","0.9538461538461538","","",""
"","38 Woodcliff,","","","","38 WOODCLIFF ROAD","","","","fuzzy","0.96","","",""
"","222 Grove,","","","","222 GROVE STREET","","","","fuzzy","0.95","","",""
"","40 Radcliffe,","","","73314492","40 Radcliffe 5 2","2024-11-19","2025-04-24","","fuzzy","0.95","","",""
"","52 Valley","","","73292242","52 Valley Rd","2024-09-18","2025-03-23","","fuzzy","0.95","","",""
"","184 Cliff Road 6 6","","","73353510","184 Cliff Road 6 6","2025-04-01","2025-09-29","","exact","1","","",""
"","15 Valley Road 6 8","","","73077635","15 Valley Road 6 8","2023-02-08","2023-05-14","","exact","1","","",""
"","121 Livingston Road 6 7","","","73295182","121 Livingston Road 6 7","2024-09-25","2025-01-08","","exact","1","","",""
"","42 Cranmore Road 6 6","","","73285093","42 Cranmore Road 6 6","2024-09-03","2025-01-14","","exact","1","","",""
"","15 Croton Street 5 6","","","73221156","15 Croton Street 5 6","2024-04-07","2024-05-29","","exact","1","","",""
"","55 Old Farm Road 6 8","","","73332851","55 Old Farm Road 6 8","2025-02-04","2025-05-28","","exact","1","","",""
"","108 Abbott Road 6 6","","","73435262","108 Abbott Road 6 6","2025-09-23","2025-11-11","","exact","1","","",""
"","9 Bellevue Road 6 6","","","73365607","9 Bellevue Road 6 6","2025-04-27","2025-08-21","","exact","1","","",""
"","15 Lathrop Rd 6 5","","","73382950","15 Lathrop Rd 6 5","2025-05-29","2025-06-29","","exact","1","","",""
"","1 Old Farm Rd 6 4","","","73371325","1 Old Farm Rd 6 4","2025-05-06","2025-08-03","","exact","1","","",""
"","115 Woodlawn Ave 5 5","","","73153553","115 Woodlawn Ave 5 5","2023-08-28","2023-12-17","","exact","1","","",""
"","7 Mountview Rd 6 5","","","73426351","7 Mountview Rd 6 5","2025-09-03","2025-12-10","","exact","1","","",""
"","89 Monadnock Road 6 6","","","73034524","89 Monadnock Road 6 6","2022-09-07","2023-09-07","","exact","1","","",""
"","11 Falmouth Rd 6 7","","","73365348","11 Falmouth Rd 6 7","2025-04-27","2025-08-17","","exact","1","","",""
"","55 Ridge Hill Farm Rd 5 5","","","73088905","55 Ridge Hill Farm Rd 5 5","2023-03-16","2023-06-25","","exact","1","","",""
"","31 Cranmore Road 6 5","","","73045783","31 Cranmore Road 6 5","2022-10-06","2023-08-20","","exact","1","","",""
"","149 Benvenue 5 6","","","73206848","149 Benvenue 5 6","2024-02-28","2024-08-07","","exact","1","","",""
"","236 Grove Street 6 7","","","73383236","236 Grove Street 6 7","2025-05-30","2025-08-14","","exact","1","","",""
"","120 Dover Road 6 6","","","73075343","120 Dover Road 6 6","2023-01-31","2023-06-12","","exact","1","","",""
"","26 Yarmouth Rd 6 6","","","72977903","26 Yarmouth Rd 6 6","2022-05-06","2024-01-01","","exact","1","","",""
"","37 Cypress Road 6 6","","","73126432","37 Cypress Road 6 6","2023-06-18","2024-04-10","","exact","1","","",""
"","39 Cypress Road 6 6","","","73082401","39 Cypress Road 6 6","2023-02-27","2023-10-26","","exact","1","","",""
"","78 Arnold Road 6 6","","","73131961","78 Arnold Road 6 6","2023-07-04","2023-08-31","","exact","1","","",""
"","15 Sumner Road 6 5","","","73351020","15 Sumner Road 6 5","2025-03-26","2025-08-10","","exact","1","","",""
"","123 Abbott Road 6 6","","","73204119","123 Abbott Road 6 6","2024-02-20","2024-06-16","","exact","1","","",""
"","182 Bristol Rd 7 6","","","73253479","182 Bristol Rd 7 6","2024-06-16","2024-11-07","","exact","1","","",""
"","18 Old Colony Rd 5 6","","","73215620","18 Old Colony Rd 5 6","2024-03-21","2025-06-10","","exact","1","","",""
"","165 Cliff Rd 6 5","","","73297001","165 Cliff Rd 6 5","2024-09-30","2025-01-14","","exact","1","","",""
"","38 Old Farm Rd 6 6","","","73286562","38 Old Farm Rd 6 6","2024-09-05","2024-10-22","","exact","1","","",""
"","80 Hundreds Road 6 7","","","73200930","80 Hundreds Road 6 7","2024-02-07","2024-05-22","","exact","1","","",""
"","11 Greylock Rd 4 5","","","73374644","11 Greylock Rd 4 5","2025-05-13","2025-06-23","","exact","1","","",""
"","60 Abbott Rd 6 5","","","73200340","60 Abbott Rd 6 5","2024-02-06","2024-06-02","","exact","1","","",""
"","51 Radcliffe Road 6 7","","","73306394","51 Radcliffe Road 6 7","2024-10-24","2025-05-29","","exact","1","","",""
"","36 Oakridge Rd 6 6","","","73340360","36 Oakridge Rd 6 6","2025-03-02","2025-12-03","","exact","1","","",""
"","56 Ledgeways 6 6","","","73445125","56 Ledgeways 6 6","2025-10-16","2025-11-30","","exact","1","","",""
"","6 Southgate Road 6 6","","","73425728","6 Southgate Road 6 6","2025-09-03","2025-10-29","","exact","1","","",""
"","15 Woodcliff Rd 6 6","","","73092766","15 Woodcliff Rd 6 6","2023-03-28","2023-05-29","","exact","1","","",""
"","17 Arden Rd 6 5","","","73069870","17 Arden Rd 6 5","2023-01-10","2023-04-26","","exact","1","","",""
"","18 Valley Road 4 3","","","73139408","18 Valley Road 4 3","2023-07-20","2024-04-15","","exact","1","","",""
"","26 White Oak Road 5 4","","","73425349","26 White Oak Road 5 4","2025-09-02","2025-10-13","","exact","1","","",""
"","30 Hobart Rd 7 6","","","73345670","30 Hobart Rd 7 6","2025-03-13","2025-11-11","","exact","1","","",""
"","77 Forest St 5 6","","","73198420","77 Forest St 5 6","2024-01-31","2024-06-10","","exact","1","","",""
"","22 Suffolk Rd 7 6","","","73123150","22 Suffolk Rd 7 6","2023-06-08","2023-12-18","","exact","1","","",""
"","76 Bristol Road 6 6","","","72973384","76 Bristol Road 6 6","2022-04-27","2023-06-29","","exact","1","","",""
"","117 Abbott Road 6 6","","","73073458","117 Abbott Road 6 6","2023-01-24","2023-04-12","","exact","1","","",""
"","15 Essex Rd 6 6","","","73425035","15 Essex Rd 6 6","2025-09-02","2025-12-10","","exact","1","","",""
"","22 Temple Road 5 5","","","73366917","22 Temple Road 5 5","2025-04-29","2025-07-13","","exact","1","","",""
"","55 Edmunds Rd 6 6","","","73102928","55 Edmunds Rd 6 6","2023-04-24","2023-07-31","","exact","1","","",""
"","5 Sabrina Rd 7 7","","","73342045","5 Sabrina Rd 7 7","2025-03-05","2025-05-15","","exact","1","","",""
"","85 Benvenue Street 6 6","","","73222141","85 Benvenue Street 6 6","2024-04-09","2024-06-25","","exact","1","","",""
"","19 Longmeadow Rd 6 7","","","73097780","19 Longmeadow Rd 6 7","2023-04-11","2023-09-07","","exact","1","","",""
"","6 Norwich Rd 6 7","","","73432485","6 Norwich Rd 6 7","2025-09-17","2025-12-02","","exact","1","","",""
"","91 Hundreds Road 4 5","","","73218121","91 Hundreds Road 4 5","2024-03-31","2024-07-25","","exact","1","","",""
"","193 Winding River Road 5 4","","","73426617","193 Winding River Road 5 4","2025-09-04","2025-11-16","","exact","1","","",""
"","241 Bristol Rd 5 6","","","73225526","241 Bristol Rd 5 6","2024-04-17","2024-05-29","","exact","1","","",""
"","10 Lanark Road 6 3","","","73345077","10 Lanark Road 6 3","2025-03-12","2025-07-09","","exact","1","","",""
"","10 Taylor Road 7 5","","","73359268","10 Taylor Road 7 5","2025-04-13","2025-07-22","","exact","1","","",""
"","8 Hampshire Road 5 6","","","73102933","8 Hampshire Road 5 6","2023-04-24","2023-11-02","","exact","1","","",""
"","10 Clark Rd 6 6","","","73086484","10 Clark Rd 6 6","2023-03-09","2023-07-26","","exact","1","","",""
"","111 Livingston Rd 5 6","","","73069968","111 Livingston Rd 5 6","2023-01-10","2023-05-29","","exact","1","","",""
"","22 Oakridge 5 5","","","73124828","22 Oakridge 5 5","2023-06-13","2023-11-29","","exact","1","","",""
"","110 Hundreds Road 5 4","","","73102935","110 Hundreds Road 5 4","2023-04-24","2023-11-12","","exact","1","","",""
"","39 Temple Road 5 6","","","73179298","39 Temple Road 5 6","2023-11-08","2024-01-17","","exact","1","","",""
"","78 Hundreds Road 6 7","","","73348574","78 Hundreds Road 6 7","2025-03-20","2025-05-08","","exact","1","","",""
"","10 Bird Hill Ave 5 5","","","73424442","10 Bird Hill Ave 5 5","2025-09-01","2025-12-02","","exact","1","","",""
"","14 Bird Hill Ave 5 5","","","73418637","14 Bird Hill Ave 5 5","2025-08-14","2025-10-23","","exact","1","","",""
"","17 Ravine Road 5 4","","","73219678","17 Ravine Road 5 4","2024-04-02","2024-06-27","","exact","1","","",""
"","53 Maugus Hill Road 6 8","","","73103597","53 Maugus Hill Road 6 8","2023-04-25","2023-05-31","","exact","1","","",""
"","20 Wedgwood Rd 5 4","","","73062761","20 Wedgwood Rd 5 4","2022-12-03","2023-07-11","","exact","1","","",""
"","143 Brook St 6 5","","","73340295","143 Brook St 6 5","2025-03-02","2025-04-29","","exact","1","","",""
"","9 Ravine 1 1","","","73427632","9 Ravine 1 1","2025-09-07","2025-10-02","","exact","1","","",""
"","50 Temple Rd 5 5","","","73375457","50 Temple Rd 5 5","2025-05-14","2025-08-11","","exact","1","","",""
"","92 Old Colony Road 5 4","","","73092774","92 Old Colony Road 5 4","2023-03-28","2023-07-31","","exact","1","","",""
"","36 Ridge Hill Farm 5 4","","","73073817","36 Ridge Hill Farm 5 4","2023-01-25","2023-04-02","","exact","1","","",""
"","21 Cushing Road 5 4","","","73346403","21 Cushing Road 5 4","2025-03-16","2025-04-30","","exact","1","","",""
"","36 Old Farm Rd 5 5","","","73382873","36 Old Farm Rd 5 5","2025-05-29","2025-07-30","","exact","1","","",""
"","22 Priscilla Cir 6 5","","","73397608","22 Priscilla Cir 6 5","2025-06-26","2025-10-21","","exact","1","","",""
"","10 Livingston Rd 5 5","","","73339644","10 Livingston Rd 5 5","2025-02-27","2025-04-02","","exact","1","","",""
"","14 Plymouth Rd 5 4","","","73219274","14 Plymouth Rd 5 4","2024-04-02","2024-08-08","","exact","1","","",""
"","178 Lowell Road 5 4","","","73082877","178 Lowell Road 5 4","2023-02-28","2023-06-04","","exact","1","","",""
"","45 Westgate Rd 5 4","","","73079494","45 Westgate Rd 5 4","2023-02-22","2023-05-02","","exact","1","","",""
"","7 Ingersoll Rd 5 5","","","73189546","7 Ingersoll Rd 5 5","2023-12-30","2024-02-29","","exact","1","","",""
"","18 Park Avenue 5 6","","","73357594","18 Park Avenue 5 6","2025-04-08","2025-06-12","","exact","1","","",""
"","10 Great Plain Ave 6 6","","","73310161","10 Great Plain Ave 6 6","2024-11-05","2025-05-27","","exact","1","","",""
"","19 Sheridan Rd 5 5","","","73293901","19 Sheridan Rd 5 5","2024-09-23","2024-11-25","","exact","1","","",""
"","105 Elmwood Road 4 4","","","73272350","105 Elmwood Road 4 4","2024-07-31","2024-08-30","","exact","1","","",""
"","16 Upland Road 6 5","","","73240509","16 Upland Road 6 5","2024-05-19","2024-08-28","","exact","1","","",""
"","10 Benton Street 5 5","","","73288356","10 Benton Street 5 5","2024-09-10","2024-11-05","","exact","1","","",""
"","5 Beard Way 7 6","","","73283930","5 Beard Way 7 6","2024-09-02","2024-10-24","","exact","1","","",""
"","21 Colburn Rd 6 6","","","73280465","21 Colburn Rd 6 6","2024-08-20","2025-03-06","","exact","1","","",""
"","130 Great Plain Ave 5 5","","","73227294","130 Great Plain Ave 5 5","2024-04-22","2024-06-25","","exact","1","","",""
"","60 Damien Rd 5 6","","","73121912","60 Damien Rd 5 6","2023-06-06","2023-09-18","","exact","1","","",""
"","5 Rockridge Road 5 4","","","73088117","5 Rockridge Road 5 4","2023-03-14","2023-03-30","","exact","1","","",""
"","196 Washington St 5 4","","","73206758","196 Washington St 5 4","2024-02-27","2024-05-29","","exact","1","","",""
"","34 Chesterton Road 5 4","","","73207063","34 Chesterton Road 5 4","2024-02-28","2024-04-30","","exact","1","","",""
"","14 Rockridge Rd 6 5","","","73209281","14 Rockridge Rd 6 5","2024-03-05","2024-06-27","","exact","1","","",""
"","1 Beard Way 5 5","","","73363105","1 Beard Way 5 5","2025-04-22","2025-07-17","","exact","1","","",""
"","202 Bristol Road 6 7","","","73350340","202 Bristol Road 6 7","2025-03-25","2025-07-13","","exact","1","","",""
"","23 Wall Street 4 4","","","73233761","23 Wall Street 4 4","2024-05-05","2024-07-28","","exact","1","","",""
"","7 Appian Dr 5 6","","","73091519","7 Appian Dr 5 6","2023-03-26","2023-05-24","","exact","1","","",""
"","149 Bristol Road 5 4","","","73073849","149 Bristol Road 5 4","2023-01-25","2023-03-21","","exact","1","","",""
"","21 Cushing Rd 5 4","","","73346403","21 Cushing Road 5 4","2025-03-16","2025-04-30","","exact","1","","",""
"","32 Twitchell St 6 4","","","73452790","32 Twitchell St 6 4","2025-11-06","2026-01-07","","exact","1","","",""
"","27 College Road 6 5","","","73213037","27 College Road 6 5","2024-03-14","2024-06-12","","exact","1","","",""
"","51 Boulder Brook Rd 5 4","","","73444537","51 Boulder Brook Rd 5 4","2025-10-15","2025-12-08","","exact","1","","",""
"","32 S. Woodside Ave 5 4","","","73431026","32 S. Woodside Ave 5 4","2025-09-14","2025-10-07","","exact","1","","",""
"","38 Fuller Brook Rd 6 5","","","73425312","38 Fuller Brook Rd 6 5","2025-09-02","2025-11-04","","exact","1","","",""
"","1 Fletcher Rd 6 5","","","73373138","1 Fletcher Rd 6 5","2025-05-11","2025-08-07","","exact","1","","",""
"","69 Forest St 4 4","","","73356909","69 Forest St 4 4","2025-04-08","2025-07-31","","exact","1","","",""
"","5 Cliff Road 5 4","","","73348039","5 Cliff Road 5 4","2025-03-19","2025-07-01","","exact","1","","",""
"","24 Jackson Rd 6 4","","","73347550","24 Jackson Rd 6 4","2025-03-18","2025-06-15","","exact","1","","",""
"","19 Abbott Rd 5 4","","","73326568","19 Abbott Rd 5 4","2025-01-14","2025-02-17","","exact","1","","",""
"","64 Yarmouth Rd 5 3","","","73268773","64 Yarmouth Rd 5 3","2024-07-23","2024-09-29","","exact","1","","",""
"","68 Crest Road 6 3","","","73212488","68 Crest Road 6 3","2024-03-13","2024-07-17","","exact","1","","",""
"","11 Alba Road 5 5","","","73199071","11 Alba Road 5 5","2024-02-01","2024-11-17","","exact","1","","",""
"","19 Radcliffe Rd 4 3","","","73171921","19 Radcliffe Rd 4 3","2023-10-17","2023-12-14","","exact","1","","",""
"","198 Winding River Rd 5 3","","","73108853","198 Winding River Rd 5 3","2023-05-08","2023-07-13","","exact","1","","",""
"","33 Maugus Hill Road 5 5","","","73338729","33 Maugus Hill Road 5 5","2025-02-25","2025-04-14","","exact","1","","",""
"","86 Parker 5 4","","","73284082","86 Parker 5 4","2024-09-02","2025-01-02","","exact","1","","",""
"","10 Ingersoll Road 5 5","","","73316755","10 Ingersoll Road 5 5","2024-12-01","2025-01-30","","exact","1","","",""
"","65 Pleasant Street 5 4","","","73075178","65 Pleasant Street 5 4","2023-01-31","2023-08-20","","exact","1","","",""
"","26 Edmunds Road 4 3","","","73443645","26 Edmunds Road 4 3","2025-10-14","2026-01-08","","exact","1","","",""
"","9 Smith Street 5 6","","","73365472","9 Smith Street 5 6","2025-04-27","2025-06-05","","exact","1","","",""
"","91 Seaver Street 5 5","","","73351786","91 Seaver Street 5 5","2025-03-27","2025-08-14","","exact","1","","",""
"","34 Garrison Rd 5 4","","","73302170","34 Garrison Rd 5 4","2024-10-14","2025-02-10","","exact","1","","",""
"","21 Pine Ridge Rd 5 4","","","73287168","21 Pine Ridge Rd 5 4","2024-09-08","2024-11-12","","exact","1","","",""
"","51 Beverly Rd 5 4","","","73255076","51 Beverly Rd 5 4","2024-06-19","2024-09-22","","exact","1","","",""
"","7 Kipling Road 7 6","","","73230674","7 Kipling Road 7 6","2024-04-29","2024-08-21","","exact","1","","",""
"","11 Winding River Cir 5 4","","","73194496","11 Winding River Cir 5 4","2024-01-16","2024-03-05","","exact","1","","",""
"","10 Longfellow Rd 4 3","","","73176592","10 Longfellow Rd 4 3","2023-11-01","2024-01-18","","exact","1","","",""
"","3 Ordway Rd 6 4","","","73114049","3 Ordway Rd 6 4","2023-05-18","2023-08-29","","exact","1","","",""
"","47 Cypress Rd 5 6","","","73092759","47 Cypress Rd 5 6","2023-03-28","2023-08-24","","exact","1","","",""
"","46 Garden Rd 4 4","","","73293153","46 Garden Rd 4 4","2024-09-19","2024-12-03","","exact","1","","",""
"","169 Grove St 4 4","","","73337824","169 Grove St 4 4","2025-02-23","2025-04-29","","exact","1","","",""
"","60 Halsey Ave 5 4","","","73302933","60 Halsey Ave 5 4","2024-10-15","2024-12-11","","exact","1","","",""
"","68 Parker Rd 5 4","","","73229048","68 Parker Rd 5 4","2024-04-24","2024-06-13","","exact","1","","",""
"","52 Ridge Hill Farm Rd 5 4","","","73069127","52 Ridge Hill Farm Rd 5 4","2023-01-08","2023-04-12","","exact","1","","",""
"","14 Oakencroft Road 4 3","","","73243342","14 Oakencroft Road 4 3","2024-05-27","2024-10-29","","exact","1","","",""
"","250 Weston Rd 5 4","","","73366725","250 Weston Rd 5 4","2025-04-29","2025-06-24","","exact","1","","",""
"","7 Beard Way 4 5","","","73044171","7 Beard Way 4 5","2022-10-03","2023-01-24","","exact","1","","",""
"","53 Park Avenue 5 6","","","73266756","53 Park Avenue 5 6","2024-07-17","2024-12-30","","exact","1","","",""
"","70 Old Farm Rd 2 1","","","73427631","70 Old Farm Rd 2 1","2025-09-07","2025-10-14","","exact","1","","",""
"","2 Kenilworth Road 5 3","","","73419087","2 Kenilworth Road 5 3","2025-08-17","2025-10-14","","exact","1","","",""
"","18 Patton Road 6 6","","","73417291","18 Patton Road 6 6","2025-08-12","2025-11-30","","exact","1","","",""
"","24 Hampden St 6 5","","","73394573","24 Hampden St 6 5","2025-06-19","2025-07-28","","exact","1","","",""
"","24 Summit Road 6 4","","","73393020","24 Summit Road 6 4","2025-06-17","2025-08-18","","exact","1","","",""
"","14 Princeton Rd 5 4","","","73368386","14 Princeton Rd 5 4","2025-04-30","2025-06-23","","exact","1","","",""
"","50 Crestwood Dr 5 5","","","73367047","50 Crestwood Dr 5 5","2025-04-29","2025-07-01","","exact","1","","",""
"","229 Bristol Rd 4 4","","","73354421","229 Bristol Rd 4 4","2025-04-02","2025-05-01","","exact","1","","",""
"","11 Crown Ridge Road 5 4","","","73353835","11 Crown Ridge Road 5 4","2025-04-01","2025-06-22","","exact","1","","",""
"","27 Boulevard Rd 5 5","","","73347322","27 Boulevard Rd 5 5","2025-03-18","2025-08-07","","exact","1","","",""
"","45 Old Colony Road 5 3","","","73300636","45 Old Colony Road 5 3","2024-10-08","2024-12-05","","exact","1","","",""
"","21 Sterling Rd 4 3","","","73258072","21 Sterling Rd 4 3","2024-06-26","2024-07-28","","exact","1","","",""
"","46 Pilgrim Rd 5 4","","","73254724","46 Pilgrim Rd 5 4","2024-06-18","2024-08-04","","exact","1","","",""
"","15 Longmeadow Rd 5 4","","","73235648","15 Longmeadow Rd 5 4","2024-05-08","2024-07-10","","exact","1","","",""
"","29 Woodcliff Rd 4 4","","","73225692","29 Woodcliff Rd 4 4","2024-04-17","2024-06-19","","exact","1","","",""
"","56 White Oak Road 5 4","","","73212063","56 White Oak Road 5 4","2024-03-12","2024-05-12","","exact","1","","",""
"","11 Cypress Road 6 4","","","73201251","11 Cypress Road 6 4","2024-02-08","2024-04-17","","exact","1","","",""
"","120 Hampshire Rd 4 4","","","73197145","120 Hampshire Rd 4 4","2024-01-26","2024-03-04","","exact","1","","",""
"","68 Pleasant St 5 4","","","73149256","68 Pleasant St 5 4","2023-08-15","2023-10-15","","exact","1","","",""
"","20 Marshall Rd 5 5","","","73078392","20 Marshall Rd 5 5","2023-02-20","2023-04-10","","exact","1","","",""
"","36 Sheridan Road 5 4","","","73076915","36 Sheridan Road 5 4","2023-02-06","2023-08-24","","exact","1","","",""
"","24 Lincoln Road 4 4","","","73070397","24 Lincoln Road 4 4","2023-01-11","2023-03-27","","exact","1","","",""
"","130 Great Plain Avenue 5 5","","","73227294","130 Great Plain Ave 5 5","2024-04-22","2024-06-25","","exact","1","","",""
"","15 Rockridge Road 4 3","","","73258989","15 Rockridge Road 4 3","2024-06-28","2024-08-11","","exact","1","","",""
"","21 Mansfield Rd 6 4","","","73133460","21 Mansfield Rd 6 4","2023-07-06","2023-08-10","","exact","1","","",""
"","265 Weston Rd 5 5","","","73281065","265 Weston Rd 5 5","2024-08-21","2024-12-02","","exact","1","","",""
"","11 Shaw Road 5 4","","","73215555","11 Shaw Road 5 4","2024-03-21","2024-04-24","","exact","1","","",""
"","23 Colgate Road 5 5","","","73082831","23 Colgate Road 5 5","2023-02-28","2023-05-18","","exact","1","","",""
"","29 Tennyson Rd 5 4","","","73113099","29 Tennyson Rd 5 4","2023-05-16","2023-08-21","","exact","1","","",""
"","110 Hampshire Rd 5 3","","","73329612","110 Hampshire Rd 5 3","2025-01-26","2025-05-27","","exact","1","","",""
"","36 Avon Road 5 3","","","73266948","36 Avon Road 5 3","2024-07-18","2024-11-21","","exact","1","","",""
"","28 Wall St 5 4","","","73424748","28 Wall St 5 4","2025-09-02","2025-11-16","","exact","1","","",""
"","88 Hopkinson Street 5 5","","","73332536","88 Hopkinson Street 5 5","2025-02-04","2025-03-05","","exact","1","","",""
"","460 Weston Road 5 5","","","73306117","460 Weston Road 5 5","2024-10-23","2024-12-11","","exact","1","","",""
"","37 Oakridge Rd 5 3","","","73231476","37 Oakridge Rd 5 3","2024-04-30","2024-08-06","","exact","1","","",""
"","169 Hampshire Rd 4 3","","","73230427","169 Hampshire Rd 4 3","2024-04-29","2024-06-16","","exact","1","","",""
"","36 Patton Rd 5 4","","","73098953","36 Patton Rd 5 4","2023-04-13","2023-04-26","","exact","1","","",""
"","11 Rockridge Road 5 4","","","73098075","11 Rockridge Road 5 4","2023-04-11","2023-05-18","","exact","1","","",""
"","112 Lowell Road 4 3","","","73075276","112 Lowell Road 4 3","2023-01-31","2023-04-10","","exact","1","","",""
"","35 Albion Rd 5 4","","","73197875","35 Albion Rd 5 4","2024-01-30","2024-03-14","","exact","1","","",""
"","7 Atwood St 6 4","","","73408229","7 Atwood St 6 4","2025-07-22","2025-08-24","","exact","1","","",""
"","53 Windsor Rd 4 4","","","73381532","53 Windsor Rd 4 4","2025-05-27","2025-07-23","","exact","1","","",""
"","41 Chesterton Rd 5 4","","","73239042","41 Chesterton Rd 5 4","2024-05-15","2024-07-31","","exact","1","","",""
"","121 Glen Rd 5 5","","","73200399","121 Glen Rd 5 5","2024-02-06","2024-04-15","","exact","1","","",""
"","135 Glen Road 5 3","","","73198831","135 Glen Road 5 3","2024-02-01","2024-04-30","","exact","1","","",""
"","5 Greenbough Lane 5 3","","","73282764","5 Greenbough Lane 5 3","2024-08-28","2024-10-21","","exact","1","","",""
"","35 Halsey Ave 4 4","","","73296981","35 Halsey Ave 4 4","2024-09-30","2024-12-01","","exact","1","","",""
"","45 Marshall Road 4 4","","","73222696","45 Marshall Road 4 4","2024-04-09","2024-06-03","","exact","1","","",""
"","173 Benvenue Street 5 5","","","73435303","173 Benvenue Street 5 5","2025-09-23","2025-10-27","","exact","1","","",""
"","34 Bay View Rd 4 4","","","73362449","34 Bay View Rd 4 4","2025-04-21","2025-06-12","","exact","1","","",""
"","23 Lawrence Rd 5 3","","","73255080","23 Lawrence Rd 5 3","2024-06-19","2025-01-30","","exact","1","","",""
"","8 Beverly Road 4 4","","","73238825","8 Beverly Road 4 4","2024-05-14","2024-07-22","","exact","1","","",""
"","93 Sagamore Rd 6 4","","","73219596","93 Sagamore Rd 6 4","2024-04-02","2024-05-20","","exact","1","","",""
"","30 Colburn Rd 5 3","","","73206520","30 Colburn Rd 5 3","2024-02-27","2024-04-10","","exact","1","","",""
"","9 Patton Rd 4 4","","","73206387","9 Patton Rd 4 4","2024-02-27","2024-06-19","","exact","1","","",""
"","6 Halsey Avenue 4 4","","","73169170","6 Halsey Avenue 4 4","2023-10-10","2023-12-14","","exact","1","","",""
"","106 Bristol Rd 5 3","","","73162435","106 Bristol Rd 5 3","2023-09-20","2023-11-26","","exact","1","","",""
"","40 Oakridge Road 5 4","","","73112861","40 Oakridge Road 5 4","2023-05-16","2023-07-13","","exact","1","","",""
"","One Crown Ridge Rd 5 4","","","73109943","One Crown Ridge Rd 5 4","2023-05-09","2023-07-13","","exact","1","","",""
"","68 Old Colony Rd 5 3","","","73106812","68 Old Colony Rd 5 3","2023-05-02","2023-08-07","","exact","1","","",""
"","11 Shaw Rd 5 4","","","73215555","11 Shaw Road 5 4","2024-03-21","2024-04-24","","exact","1","","",""
"","16 Nantucket Rd 4 2","","","73357644","16 Nantucket Rd 4 2","2025-04-08","2025-07-27","","exact","1","","",""
"","45 Stanford Rd. 4 4","","","73367363","45 Stanford Rd. 4 4","2025-04-29","2025-07-30","","exact","1","","",""
"","133 Hampshire Rd 5 4","","","73363651","133 Hampshire Rd 5 4","2025-04-22","2025-06-25","","exact","1","","",""
"","25 Crescent St 5 5","","","73347460","25 Crescent St 5 5","2025-03-18","2025-05-13","","exact","1","","",""
"","21 Rockridge Rd 5 3","","","73313922","21 Rockridge Rd 5 3","2024-11-18","2025-01-09","","exact","1","","",""
"","73 Ledgeways 6 5","","","73236961","73 Ledgeways 6 5","2024-05-12","2024-08-08","","exact","1","","",""
"","169 Washington Street 5 4","","","73184267","169 Washington Street 5 4","2023-11-30","2024-01-29","","exact","1","","",""
"","10 Oakland Street 5 4","","","73176224","10 Oakland Street 5 4","2023-10-31","2024-02-11","","exact","1","","",""
"","19 Turner Rd 4 4","","","73174641","19 Turner Rd 4 4","2023-10-25","2024-02-28","","exact","1","","",""
"","91 Old Colony Road 4 3","","","73168230","91 Old Colony Road 4 3","2023-10-08","2023-12-28","","exact","1","","",""
"","23 Bobolink Rd 5 5","","","73122921","23 Bobolink Rd 5 5","2023-06-08","2023-12-14","","exact","1","","",""
"","51 Abbott Road 6 4","","","73373260","51 Abbott Road 6 4","2025-05-11","2025-09-02","","exact","1","","",""
"","194 Grove St 4 2","","","73380798","194 Grove St 4 2","2025-05-27","2025-08-20","","exact","1","","",""
"","22 Oakencroft Rd 5 4","","","73354346","22 Oakencroft Rd 5 4","2025-04-02","2025-06-15","","exact","1","","",""
